X,OBSERVATION,PARTICIPANT,PRETEST,PRE_FAMILIAR,AGE,GENDER,NATIONALITY,ENGLISH,POSTTEST,GENERATION,RECALL,CHAIN,CONDITION,CONDITION.2,ORDER,SOURCE,VIEW,PRESTIGE,RELEVANCE,T_RECALL,T_SOURCE
1,103,52,-3,3,34,male,1,1,-1,F4,1,CH13,C1,B,FIRST,EDUCATOR,PROTABLETS,3,1,158.98,23.401
2,104,52,-3,3,34,male,1,1,-1,F4,2,CH13,C1,B,SECOND,CLEANER,ANTITABLETS,3,1,97.64,20.621
1,105,53,-3,3,36,female,1,1,0,F1,3,CH14,C1,B,FIRST,EDUCATOR,PROTABLETS,4,3,141.446,38.746
2,106,53,-3,3,36,female,1,1,0,F1,2,CH14,C1,B,SECOND,CLEANER,ANTITABLETS,1,-2,91.499,28.432
1,107,54,-3,2,37,female,1,1,-2,F2,3,CH14,C1,B,FIRST,EDUCATOR,PROTABLETS,3,3,98.383,28.557
2,108,54,-3,2,37,female,1,1,-2,F2,1,CH14,C1,B,SECOND,CLEANER,ANTITABLETS,1,0,142.883,20.316
1,109,55,-1,3,31,male,1,1,1,F3,2,CH14,C1,B,FIRST,EDUCATOR,PROTABLETS,3,3,41.078,12.39
2,110,55,-1,3,31,male,1,1,1,F3,1,CH14,C1,B,SECOND,CLEANER,ANTITABLETS,2,1,31.687,10.739
1,111,56,2,3,28,female,1,1,2,F4,2,CH14,C1,B,FIRST,EDUCATOR,PROTABLETS,4,3,75.019,15.506
2,112,56,2,3,28,female,1,1,2,F4,1,CH14,C1,B,SECOND,CLEANER,ANTITABLETS,2,-2,38.639,15.894
1,113,57,-3,1,46,female,1,1,-3,F1,5,CH15,C1,B,FIRST,EDUCATOR,PROTABLETS,3,3,173.755,86.389
2,114,57,-3,1,46,female,1,1,-3,F1,6,CH15,C1,B,SECOND,CLEANER,ANTITABLETS,3,3,126.214,50.384
1,115,58,2,3,28,female,1,1,2,F2,4,CH15,C1,B,FIRST,EDUCATOR,PROTABLETS,3,2,129.419,42.163
2,116,58,2,3,28,female,1,1,2,F2,3,CH15,C1,B,SECOND,CLEANER,ANTITABLETS,2,-1,132.686,42.977
1,117,59,-3,3,35,female,1,1,-1,F3,2,CH15,C1,B,FIRST,EDUCATOR,PROTABLETS,5,3,96.204,33.662
2,118,59,-3,3,35,female,1,1,-1,F3,3,CH15,C1,B,SECOND,CLEANER,ANTITABLETS,2,3,55.906,20.027
1,119,60,-1,3,46,male,1,1,-1,F4,0,CH15,C1,B,FIRST,EDUCATOR,PROTABLETS,3,3,130.163,49.366
2,120,60,-1,3,46,male,1,1,-1,F4,3,CH15,C1,B,SECOND,CLEANER,ANTITABLETS,1,-1,70.871,46.227
1,121,61,1,3,26,female,1,1,1,F1,5,CH16,C1,B,FIRST,EDUCATOR,PROTABLETS,5,3,174.996,44.94
2,122,61,1,3,26,female,1,1,1,F1,6,CH16,C1,B,SECOND,CLEANER,ANTITABLETS,3,2,162.37,37.328
1,123,62,0,2,24,female,1,1,1,F2,5,CH16,C1,B,FIRST,EDUCATOR,PROTABLETS,4,3,123.355,45.404
2,124,62,0,2,24,female,1,1,1,F2,3,CH16,C1,B,SECOND,CLEANER,ANTITABLETS,2,1,129.265,36.328
1,125,63,-2,2,28,female,1,1,0,F3,4,CH16,C1,B,FIRST,EDUCATOR,PROTABLETS,4,3,90.16,20.395
2,126,63,-2,2,28,female,1,1,0,F3,3,CH16,C1,B,SECOND,CLEANER,ANTITABLETS,2,0,115.219,71.674
1,127,64,-2,2,31,female,1,1,-1,F4,2,CH16,C1,B,FIRST,EDUCATOR,PROTABLETS,4,2,148.388,21.328
2,128,64,-2,2,31,female,1,1,-1,F4,2,CH16,C1,B,SECOND,CLEANER,ANTITABLETS,2,-1,160.233,15.533
